RestaurantId,ItemName,Description
R001,Beef Burger,Grilled beef patty with fries
R001,Caesar Salad,Romaine lettuce with house dressing
R001,Chicken Rice,Steamed chicken with fragrant rice
R001,Grilled Steak,Premium sirloin with vegetables
R001,Mushroom Soup,Creamy forest mushroom soup
R002,Gyoza Set,Pan-fried dumplings with dipping sauce
R002,Pad Thai,Stir-fried rice noodles with peanuts
R002,Seafood Udon,Thick noodles with prawns and squid
R002,Spicy Ramen,House-special broth with chilli oil
R003,Chicken Katsu Bento,Crispy chicken cutlet with rice and sides
R003,Salmon Teriyaki Bento,Grilled salmon with teriyaki glaze
R003,Teriyaki Chicken,Grilled chicken with sweet soy glaze
R003,Vegetable Tempura Bento,Assorted vegetable tempura with rice
R004,Garlic Bread,Toasted bread with garlic butter
R004,Hawaiian Pizza,Ham and pineapple classic
R004,Margherita Pizza,Classic tomato and mozzarella
R004,Pepperoni Pizza,Loaded with pepperoni slices
R005,Garden Salad,Fresh mixed greens with vinaigrette
R005,Greek Salad,"Cucumber, tomato, olives, and feta"
R005,Grilled Chicken Salad,Sliced chicken breast on greens
R005,Quinoa Bowl,Healthy quinoa with roasted vegetables
R006,Miso Soup,Traditional Japanese soybean broth
R006,Salmon Nigiri,Fresh salmon on vinegared rice
R006,Tuna Roll,Fresh tuna wrapped in seaweed and rice
R007,Classic Cheeseburger,Beef patty with cheddar and pickles
R007,Crispy Chicken Burger,Deep-fried chicken thigh with slaw
R007,Onion Rings,Golden battered onion rings
R008,Beef Taco,Soft tortilla with minced beef and salsa
R008,Chicken Quesadilla,Grilled tortilla with chicken and cheese
R008,Guacamole & Chips,Fresh avocado dip with corn chips
R009,Lasagna,Layered pasta with beef ragu and bechamel
R009,Pesto Pasta,Basil pesto with pine nuts and olive oil
R009,Spaghetti Carbonara,Creamy sauce with bacon and parmesan
R010,Grilled Asparagus,Lightly charred with lemon zest
R010,Mashed Potatoes,Creamy potatoes with butter and herbs
R010,Ribeye Steak,Juicy 250g ribeye with garlic butter
R011,Butter Chicken,Creamy tomato-based curry with chicken
R011,Garlic Naan,Tandoor-baked flatbread with garlic
R011,Lamb Rogan Josh,Slow-cooked lamb in aromatic spices
R012,BBQ Pork Bun,Sweet steamed buns with pork filling
R012,Har Gow,Translucent shrimp dumplings
R012,Siew Mai,Steamed pork and shrimp dumplings
R013,Berry Waffle,Topped with fresh seasonal berries
R013,Chocolate Waffle,Waffle topped with chocolate ganache
R013,Classic Waffle,Buttery waffle with maple syrup
R014,Clam Chowder,Thick creamy soup with fresh clams
R014,Pumpkin Soup,Velvety roasted pumpkin with cream
R014,Tomato Soup,Rich and roasted tomato blend
R015,Chocolate Sprinkles,Chocolate iced donut with sprinkles
R015,Custard Filled,Donut with rich vanilla custard
R015,Glazed Donut,Classic sugar glazed yeast donut
